article_id,finding_count
SANAD-050127,24
SANAD-067598,18
SANAD-107444,16
SANAD-005957,12
SANAD-122948,9
SANAD-052297,8
SANAD-078041,7
SANAD-105526,7
ANAD-490720,6
SANAD-036358,6
SANAD-070167,6
SANAD-074502,6
SANAD-089298,6
SANAD-129124,6
ANAD-148889,5
ANAD-216325,5
ANAD-247893,5
SANAD-025580,5
SANAD-042391,5
SANAD-068864,5
SANAD-080601,5
SANAD-102133,5
SANAD-105885,5
SANAD-106974,5
SANAD-129081,5
ANAD-031723,4
ANAD-134141,4
ANAD-225223,4
ANAD-269330,4
ANAD-313962,4
ANAD-439722,4
ANAD-443219,4
SANAD-023844,4
SANAD-040837,4
SANAD-044670,4
SANAD-045822,4
SANAD-068491,4
SANAD-071296,4
SANAD-083623,4
SANAD-087877,4
SANAD-090387,4
SANAD-110441,4
SANAD-141437,4
ANAD-000848,3
ANAD-029457,3
ANAD-038468,3
ANAD-096823,3
ANAD-134035,3
ANAD-207095,3
ANAD-213771,3
ANAD-229646,3
ANAD-233963,3
ANAD-309614,3
ANAD-371910,3
ANAD-418136,3
ANAD-432114,3
ANAD-461404,3
ANAD-495164,3
SANAD-000032,3
SANAD-031354,3
SANAD-033649,3
SANAD-044516,3
SANAD-049430,3
SANAD-050198,3
SANAD-060349,3
SANAD-067080,3
SANAD-079085,3
SANAD-081093,3
SANAD-081131,3
SANAD-084264,3
SANAD-084517,3
SANAD-085046,3
SANAD-086017,3
SANAD-096951,3
SANAD-101680,3
SANAD-108570,3
SANAD-115667,3
SANAD-121407,3
SANAD-122151,3
ANAD-013445,2
ANAD-015348,2
ANAD-032468,2
ANAD-035877,2
ANAD-050751,2
ANAD-058717,2
ANAD-074356,2
ANAD-075094,2
ANAD-081530,2
ANAD-086439,2
ANAD-087090,2
ANAD-087719,2
ANAD-109931,2
ANAD-118987,2
ANAD-131808,2
ANAD-139392,2
ANAD-149043,2
ANAD-152893,2
ANAD-168551,2
ANAD-185945,2
ANAD-201791,2
ANAD-203602,2
ANAD-205601,2
ANAD-211552,2
ANAD-246086,2
ANAD-246442,2
ANAD-274176,2
ANAD-307738,2
ANAD-312876,2
ANAD-328954,2
ANAD-334801,2
ANAD-347449,2
ANAD-366517,2
ANAD-370725,2
ANAD-379441,2
ANAD-392361,2
ANAD-412123,2
ANAD-416154,2
ANAD-452990,2
ANAD-467486,2
ANAD-475730,2
SANAD-002929,2
SANAD-003103,2
SANAD-016118,2
SANAD-021543,2
SANAD-026275,2
SANAD-028226,2
SANAD-036942,2
SANAD-039882,2
SANAD-039901,2
SANAD-047718,2
SANAD-048191,2
SANAD-049492,2
SANAD-050969,2
SANAD-057777,2
SANAD-065884,2
SANAD-071801,2
SANAD-073231,2
SANAD-078226,2
SANAD-083088,2
SANAD-098610,2
SANAD-101327,2
SANAD-106072,2
SANAD-108812,2
SANAD-113260,2
SANAD-121179,2
SANAD-126227,2
SANAD-127083,2
SANAD-130470,2
SANAD-137465,2
SANAD-138007,2
ANAD-012514,1
ANAD-032129,1
ANAD-049216,1
ANAD-056373,1
ANAD-056812,1
ANAD-058545,1
ANAD-059594,1
ANAD-075257,1
ANAD-077150,1
ANAD-079803,1
ANAD-089673,1
ANAD-100434,1
ANAD-100601,1
ANAD-112857,1
ANAD-114285,1
ANAD-119726,1
ANAD-136139,1
ANAD-145683,1
ANAD-146037,1
ANAD-147096,1
ANAD-164405,1
ANAD-171473,1
ANAD-189478,1
ANAD-205123,1
ANAD-213202,1
ANAD-333611,1
ANAD-336524,1
ANAD-344049,1
ANAD-380840,1
ANAD-380875,1
ANAD-425200,1
ANAD-426405,1
ANAD-428233,1
ANAD-429574,1
ANAD-438288,1
ANAD-443448,1
ANAD-456311,1
ANAD-462020,1
ANAD-481757,1
ANAD-491407,1
ANAD-491461,1
ANAD-496306,1
SANAD-015661,1
SANAD-027047,1
SANAD-031455,1
SANAD-033225,1
SANAD-037273,1
SANAD-039318,1
SANAD-044200,1
SANAD-046029,1
SANAD-052679,1
SANAD-059240,1
SANAD-068584,1
SANAD-071811,1
SANAD-074855,1
SANAD-078023,1
SANAD-081234,1
SANAD-083180,1
SANAD-083802,1
SANAD-088746,1
SANAD-091310,1
SANAD-092396,1
SANAD-093313,1
SANAD-094125,1
SANAD-095152,1
SANAD-095996,1
SANAD-105347,1
SANAD-106656,1
SANAD-108288,1
SANAD-110453,1
SANAD-112357,1
SANAD-114154,1
SANAD-115702,1
SANAD-119457,1
SANAD-122191,1
SANAD-128283,1
SANAD-129525,1
SANAD-132784,1
SANAD-135672,1
SANAD-138055,1
SANAD-138967,1
