article_id,finding_id,category,severity,confidence,decision,drop_reason,editor_notes,original_text,explanation_ar
ANAD-213771,FND-AI-0002,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر قبلية,استخدام مصدر مبهم 'مصادر قبلية' لخبر حساس يتضمن وفيات وعمل إرهابي، مما يقلل من موثوقية الخبر ويجعل التحقق صعباً. القاعدة R_SOURCE_VAGUE توصي بتسمية المصدر أو تخفيف قوة الإسناد.
ANAD-247893,FND-AI-0003,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر محلية,"يُعزى ادعاء حساس (استهداف بـ6 غارات ومصرع عدد من العناصر) إلى ""مصادر محلية"" دون تحديد، مما يجعله إسناداً غامضاً. هذا يقلل من مصداقية الخبر وقابليته للتحقق، خاصة في سياق النزاعات عالية التأثير."
SANAD-031354,FND-AI-0001,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مصرفية,الادعاء بأن 4 ملايين عامل وافد لا يمتلكون حسابات بنكية هو ادعاء ذو تأثير عالٍ ويشكل أساس المقال، ولكن مصدره 'مصادر مصرفية' غير محدد، مما يقلل من موثوقية المعلومة ويجعل التحقق منها صعبًا.
SANAD-033649,FND-AI-0001,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,المصادر,"يُعد استخدام كلمة ""المصادر"" دون تحديدها إسنادًا غامضًا للمعلومة، مما يقلل من شفافية وموثوقية الخبر. القاعدة R_SOURCE_VAGUE تتطلب تحديد المصدر أو تخفيف الإسناد."
SANAD-068864,FND-AI-0001,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر رسمية,"الادعاء الرئيسي في العنوان حول اجتماع رئيس الحكومة العاجل يُنسب إلى ""مصادر رسمية"" غير محددة. هذا الغموض في المصدر يمكن أن يقلل من مصداقية الخبر ويجعل التحقق منه صعباً على القارئ، خاصة وأن الادعاء ذو تأثير عالٍ."
SANAD-084264,FND-AI-0003,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر صومالية,الاستشهاد بـ 'مصادر صومالية' يعتبر إسناداً غامضاً لمعلومات حساسة (عدد المصابين وشدة الاشتباكات). القاعدة R_SOURCE_VAGUE توصي بتحديد المصدر بشكل أوضح أو تخفيف قوة الإسناد في حال عدم إمكانية التحديد، خاصة للادعاءات عالية التأثير.
SANAD-101680,FND-AI-0001,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر محلية,استخدام 'مصادر محلية' كإسناد لمعلومة حساسة حول عدد الضحايا الأطفال يعتبر إسنادًا غامضًا ولا يحدد المصدر بشكل كافٍ، مما يقلل من موثوقية المعلومة ويزيد من خطر التضليل.
SANAD-110441,FND-AI-0003,attribution,high,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,بعض المصادر الصحفية,"الإشارة إلى ""بعض المصادر الصحفية"" كمصدر للمعلومات حول تعيينات المدربين الجدد تعتبر إسناداً غامضاً. في التقارير الإخبارية، خاصة للمعلومات الهامة، يفضل ذكر المصادر المحددة لتعزيز المصداقية وتجنب التكهنات."
ANAD-059594,FND-E-0001,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
ANAD-205601,FND-E-0003,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-036358,FND-E-0004,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-036358,FND-E-0005,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-042391,FND-E-0004,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-042391,FND-E-0005,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-083623,FND-E-0025,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
SANAD-085046,FND-AI-0002,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل الإعلام الكندية,إسناد إعلامي مبهم لا يحدد المصدر بشكل دقيق، مما يقلل من موثوقية المعلومة، خاصة وأنها تتعلق بمشاعر الجاني المناهضة للهجرة.
SANAD-085046,FND-E-0004,attribution,high,0.95,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,وسائل إعلام,إسناد إعلامي مبهم.
ANAD-056373,FND-AI-1,attribution,high,0.9,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,تقارير صحفية,"يُعزى الادعاء الرئيسي حول خسائر برشلونة البالغة 154 مليون يورو إلى ""تقارير صحفية""، وهو مصدر مبهم. هذا يتعارض مع قاعدة R_SOURCE_VAGUE التي تحذر من استخدام مصادر غير محددة، وقاعدة ATTR-001 التي تمنع تحويل الأقوال المنسوبة إلى حقائق بصوت الناشر، خاصة وأن العنوان يقدم الرقم كحقيقة مؤكدة."
ANAD-148889,FND-AI-0001,attribution,medium,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر,يعزو العنوان الادعاء الرئيسي إلى 'مصادر' مبهمة دون تحديد هويتها، مما يجعل من الصعب على القارئ تقييم مصداقية المعلومات أو سلطتها، وهو ما يعد انتهاكًا لقاعدة R_SOURCE_VAGUE.
ANAD-418136,FND-AI-0002,attribution,medium,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,المصادر,استخدام مصطلح 'المصادر' عام وغير محدد، مما يقلل من موثوقية المعلومة ويخالف مبدأ تحديد المصدر.
SANAD-070167,FND-AI-0001,attribution,medium,1.0,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر اعلامية متطابقة,"يستخدم العنوان إسنادًا غامضًا ""مصادر إعلامية متطابقة"" لادعاء حساس يتعلق بوزير. يجب تسمية المصادر المحددة لتعزيز المصداقية."
SANAD-074855,FND-AI-4,attribution,medium,1.0,drop,optional_style,Attribution nag without a demonstrated unsupported factual leap.,(وكالات),الإشارة إلى المصدر بـ '(وكالات)' تعتبر إسنادًا غامضًا لا يحدد وكالة الأنباء أو المصدر الدقيق. في سياق خبر حساس يتعلق بعملية عسكرية، يعد الإسناد الدقيق أمرًا بالغ الأهمية للمصداقية والتحقق من المعلومات، ويقلل من ثقة القارئ.
ANAD-075257,FND-E-0001,attribution_strength,medium,0.95,drop,optional_style,Confirmation-verb softening is stylistic on published news; low interrupt value.,أكد أن,فعل تأكيد قد يقوّي الادعاء دون دليل إضافي.
ANAD-185945,FND-E-0004,attribution,medium,0.95,drop,too_low_impact,Vague-source phrasing is common published journalism; not a clear defect on silence-set external corpora (not AJ house style).,مصادر مطلعة,مصدر غير مسمّى يحتاج توضيحاً أو تلييناً.
