article_id,baseline_findings,candidate_findings,baseline_editorial,candidate_editorial,delta_all,delta_editorial
ANAD-000848,3,1,1,1,-2,0
ANAD-012514,1,3,0,3,2,3
ANAD-013445,2,0,0,0,-2,0
ANAD-015348,2,1,1,1,-1,0
ANAD-029457,3,1,2,1,-2,-1
ANAD-031723,4,0,0,0,-4,0
ANAD-032129,1,0,0,0,-1,0
ANAD-032468,2,5,1,5,3,4
ANAD-035877,2,0,0,0,-2,0
ANAD-038468,3,2,1,2,-1,1
ANAD-049216,1,1,1,1,0,0
ANAD-050751,2,1,1,1,-1,0
ANAD-052152,0,0,0,0,0,0
ANAD-055520,0,1,0,1,1,1
ANAD-056373,1,0,1,0,-1,-1
ANAD-056812,1,1,0,1,0,1
ANAD-058545,1,0,0,0,-1,0
ANAD-058717,2,1,0,1,-1,1
ANAD-059594,1,1,1,1,0,0
ANAD-059633,0,0,0,0,0,0
ANAD-064435,0,0,0,0,0,0
ANAD-074356,2,1,0,1,-1,1
ANAD-075094,2,1,0,1,-1,1
ANAD-075257,1,1,1,1,0,0
ANAD-077150,1,0,0,0,-1,0
ANAD-079803,1,1,0,1,0,1
ANAD-081530,2,4,2,4,2,2
ANAD-081676,0,0,0,0,0,0
ANAD-081768,0,0,0,0,0,0
ANAD-086439,2,0,0,0,-2,0
ANAD-086662,0,0,0,0,0,0
ANAD-087090,2,1,0,1,-1,1
ANAD-087719,2,1,1,1,-1,0
ANAD-089673,1,0,0,0,-1,0
ANAD-095487,0,1,0,1,1,1
ANAD-096823,3,3,3,3,0,0
ANAD-100434,1,1,1,1,0,0
ANAD-100601,1,0,0,0,-1,0
ANAD-109931,2,1,1,1,-1,0
ANAD-112857,1,1,0,1,0,1
ANAD-114285,1,0,0,0,-1,0
ANAD-118071,0,0,0,0,0,0
ANAD-118987,2,0,0,0,-2,0
ANAD-119726,1,0,0,0,-1,0
ANAD-120479,0,0,0,0,0,0
ANAD-122950,0,0,0,0,0,0
ANAD-131808,2,0,0,0,-2,0
